gene,fbgn,gene_transcript_start,fc3.count,fc4.count,fc5.count,fc6.count,p,q,logConc,logFC
fs(1)h,FBgn0004656,fs(1)h-PB-4428,61,64,17,16,3.34440697126844e-17,1.01811333458336e-14,-16.6533261669883,-2.17376307421888
CG5033,FBgn0028744,CG5033-PA-2306,206,246,470,458,3.71730028253781e-17,1.12582728249291e-14,-13.3194808736381,0.785870973155825
crc,FBgn0000370,crc-PA-1033,2356,2336,2153,1901,3.7413354701446e-17,1.12732546018265e-14,-10.5680044931916,-0.464574916888224
CG33641,FBgn0053641,CG33641-PA-535,229,205,112,85,3.82508286223029e-17,1.14670935876952e-14,-14.4666110224975,-1.39444113563317
eIF2B-delta,FBgn0034858,eIF2B-delta-PA-727,43,46,154,133,3.84912330680619e-17,1.1480885063301e-14,-15.3381959311164,1.43662044450047
kdn,FBgn0261955,kdn-PA-609,87,100,238,233,4.32152648141999e-17,1.28251613537539e-14,-14.4452056157122,1.08049469258526
sev,FBgn0003366,sev-PA-2098,34,44,168,137,4.66892881751513e-17,1.37868799052404e-14,-15.3902570970255,1.71434883040406
bif,FBgn0014133,bif-PB-3238,276,264,545,528,4.86176894965152e-17,1.42252992415693e-14,-13.086125666456,0.738021535642605
Jafrac1,FBgn0040309,Jafrac1-PA-534,526,560,984,968,4.86557358325204e-17,1.42252992415693e-14,-12.1506035283377,0.59384620054809
CG43444,FBgn0263392,CG43444-PA-7320,45,41,148,132,5.36095409592929e-17,1.55964151230242e-14,-15.3806615547639,1.4504286396246
fbl6,FBgn0033609,fbl6-PA-1344,588,646,1124,1063,5.47237532115147e-17,1.58425265547335e-14,-11.9766850157888,0.573421847252603
Fas3,FBgn0000636,Fas3-PA-537,137,130,321,291,5.91238507591441e-17,1.70328603811392e-14,-13.9993849663122,0.94395593824594
betaTub56D,FBgn0003887,betaTub56D-PA-1269,191459,203025,178862,181107,6.00015260387296e-17,1.72017967223073e-14,-4.13458625960419,-0.383425394476492
CG5235,FBgn0036565,CG5235-PA-1825,465,461,350,320,6.16509331858531e-17,1.75892792854595e-14,-13.0369399914516,-0.719640227793648
alphaCop,FBgn0025725,alphaCop-PA-2460,168,164,373,351,6.76796919230274e-17,1.92164771422604e-14,-13.7209371469398,0.872216112697455
VhaM9.7-b,FBgn0028663,VhaM9.7-b-PA-198,393,374,285,249,7.46188258320242e-17,2.10853522296062e-14,-13.3364797812685,-0.775427720051066
kdn,FBgn0261955,kdn-PA-474,159,150,344,338,7.9958455582393e-17,2.24866022370713e-14,-13.8157216237214,0.889680542909125
tum,FBgn0086356,tum-PA-1636,1221,1337,1060,1064,8.17378973204819e-17,2.28780888149432e-14,-11.4717620369997,-0.51985306818567
usnp,FBgn0034913,usnp-PA-831,2226,2249,1948,1919,8.39041649721137e-17,2.33736423345429e-14,-10.6357891134806,-0.463112137089753
CG31195,FBgn0051195,CG31195-PB-2064,1173,1222,1951,2054,8.5321679954756e-17,2.36569379097088e-14,-11.0612552629343,0.490310769367225
Nipped-A,FBgn0053554,Nipped-A-PA-10476,495,489,381,342,9.48964252955533e-17,2.60669445818827e-14,-12.9382272205118,-0.697561521888356
GstE5,FBgn0063495,GstE5-PA-445,123,119,60,50,9.48631089866859e-17,2.60669445818827e-14,-15.3082932146127,-1.39010551512527
YT521-B,FBgn0027616,YT521-B-PA-1962,156,155,372,314,1.0426856808142e-16,2.85087643229283e-14,-13.8071864776322,0.888340662734961
bel,FBgn0263231,bel-PA-1443,53,49,164,146,1.31942067703132e-16,3.59089153659521e-14,-15.1841665501676,1.35108939300445
pck,FBgn0013720,pck-PA-465,291,339,619,592,1.36233406124738e-16,3.69067545821779e-14,-12.8880226639967,0.69077687807735
CG6891,FBgn0030955,CG6891-PA-172,1296,1276,2911,3111,1.44951352558567e-16,3.90892099516156e-14,-10.7149333867843,0.975733653473491
lft,FBgn0032230,lft-PA-459,21,26,102,94,1.45656297769977e-16,3.91007710622695e-14,-16.0738168358177,1.8077517870701
CG18624,FBgn0029971,CG18624-PA-102,677,698,557,514,1.62993308176484e-16,4.35568271234695e-14,-12.4134997990824,-0.613114757748826
RpL19,FBgn0002607,RpL19-PA-562,10969,11057,9897,10059,1.67519804904582e-16,4.45091864672355e-14,-8.3020721424538,-0.394443893184802
mthl14,FBgn0052476,mthl14-PA-776,226,207,130,128,1.68064421114727e-16,4.45091864672355e-14,-14.273492546241,-0.999668611736714
CG32702,FBgn0052702,CG32702-PB-10504,5,5,47,53,2.43314415230845e-16,6.41502800656396e-14,-17.675459706182,3.06966424491215
CG1463,FBgn0030406,CG1463-PA-904,112,127,50,60,2.61812416049521e-16,6.87205229646783e-14,-15.3172778610929,-1.3715755999677
beta-Spec,FBgn0250788,beta-Spec-PA-5757,190,206,431,391,2.72834245564049e-16,7.12966587368212e-14,-13.5024044837238,0.80111846166698
Act42A,FBgn0000043,Act42A-PA-975,766,655,404,409,3.03151403202967e-16,7.88701126447614e-14,-12.5870388034282,-1.05977464666956
ERp60,FBgn0033663,ERp60-PA-1175,3452,3473,5630,5369,3.18867593058655e-16,8.25950978546405e-14,-9.56690636642505,0.414625362203307
Ssrp,FBgn0010278,Ssrp-PA-1281,264,260,544,489,3.24767081624335e-16,8.37558703343667e-14,-13.1354640122023,0.726323010898853
smid,FBgn0016983,smid-PA-868,138,165,343,321,3.35129037511127e-16,8.60523943362266e-14,-13.849484047843,0.879666219509403
Hsp27,FBgn0001226,Hsp27-PA-359,67,68,186,182,3.47537512611169e-16,8.88522528995257e-14,-14.8581867685995,1.19439154568247
CG8036,FBgn0037607,CG8036-PB-98,25,14,90,85,3.50535613580898e-16,8.90107078223331e-14,-16.2900268643474,1.91324322446287
l(2)37Cc,FBgn0002031,l(2)37Cc-PA-176,66,79,205,182,3.51171643513218e-16,8.90107078223331e-14,-14.7705234342435,1.1638586821534
CG14641,FBgn0037220,CG14641-PA-1044,1843,2086,1692,1699,3.72545542614669e-16,9.4024763486056e-14,-10.8248862277874,-0.463593301265019
CG11597,FBgn0036212,CG11597-PA-498,1036,1109,895,873,4.0124917364285e-16,1.00838185944678e-13,-11.7311254149528,-0.530915347395232
Atf6,FBgn0033010,Atf6-PA-676,36,34,3,5,5.18316686645885e-16,1.29706554575986e-13,-18.0937278536001,-3.38167477043353
Tcp-1zeta,FBgn0027329,Tcp-1zeta-PA-1581,96,81,287,247,5.55269554463656e-16,1.38367549989513e-13,-14.3942097837891,1.33863001084639
eEF1delta,FBgn0032198,eEF1delta-PA-581,3016,2956,2633,2645,5.8399015889443e-16,1.44912986571375e-13,-10.2029376614359,-0.430792224550715
CG31075,FBgn0051075,CG31075-PA-576,77,96,227,207,7.20183128097493e-16,1.77960565603271e-13,-14.5604934885808,1.07462522899216
dnk,FBgn0022338,dnk-PA-550,1873,2104,1821,1629,7.59747489582513e-16,1.86954863499017e-13,-10.8041873673765,-0.457374744566381
CSN5,FBgn0027053,CSN5-PA-789,971,1027,823,819,7.69621776686956e-16,1.88598850155926e-13,-11.8355553241364,-0.535125754012094
Ufd1-like,FBgn0036136,Ufd1-like-PA-549,688,719,560,551,9.58055259401953e-16,2.33805072354382e-13,-12.3703285989113,-0.592989428920048
CG16817,FBgn0037728,CG16817-PA-381,824,811,657,661,1.09556931212774e-15,2.65212087488308e-13,-12.1384760981313,-0.563420399668514
Hsp67Ba,FBgn0001227,Hsp67Ba-PA-390,405,378,731,711,1.09573215054941e-15,2.65212087488308e-13,-12.6047765406443,0.628233475453674
rump,FBgn0260010,rump-PA-1180,6169,6429,9750,9889,1.18397446242761e-15,2.85400668579795e-13,-8.71687045065361,0.388892484037566
Sap-r,FBgn0000416,Sap-r-PA-1776,90,80,219,209,1.20974287714665e-15,2.90426808286696e-13,-14.5828960130675,1.07950169337415
CG12947,FBgn0037753,CG12947-PC-945,501,557,968,905,1.36219975636288e-15,3.25703616239995e-13,-12.1995409155292,0.571781732812523
CG18619,FBgn0032202,CG18619-PA-126,308,343,241,206,1.48805653618259e-15,3.54361463362384e-13,-13.5833649478859,-0.794826896560819
RpL10,FBgn0024733,RpL10-PC-623,21734,23030,20616,20553,1.67093740125693e-15,3.96314140736674e-13,-7.26860078619637,-0.37238307417523
Gp150,FBgn0013272,Gp150-PA-3012,432,437,794,778,1.73121847457405e-15,4.08969202685577e-13,-12.46747716869,0.602799163949983
CG33230,FBgn0053230,CG33230-PA-948,83,65,18,24,1.93738027569986e-15,4.55847825985187e-13,-16.3565984455753,-2.07027409386696
Rpn9,FBgn0028691,Rpn9-PA-1101,966,932,797,765,1.97164456850852e-15,4.62068987805462e-13,-11.9084095881089,-0.534017782671016
CG12299,FBgn0032295,CG12299-PA-133,2,1,33,42,2.41533493189402e-15,5.63813637975482e-13,-18.7510882147044,4.39215520442372
ird1,FBgn0260935,ird1-PA-3331,21,31,101,97,2.43523613023693e-15,5.66221162911547e-13,-15.9935762417239,1.67667297984339
Hrb98DE,FBgn0001215,Hrb98DE-PA-669,136,158,319,319,2.47363630521569e-15,5.72894168287954e-13,-13.8998977253729,0.865719358964887
Tsc1,FBgn0026317,Tsc1-PA-3096,41,50,131,145,3.21942893869119e-15,7.42707165082908e-13,-15.3501735156996,1.34871242261464
TppII,FBgn0020370,TppII-PA-3696,517,509,394,386,3.55846956002756e-15,8.17727997183299e-13,-12.8531517019437,-0.648060580504474
fsd,FBgn0033813,fsd-PA-571,189,200,125,107,3.586256758517e-15,8.20919192420531e-13,-14.4277127175894,-0.998157841533916
sens,FBgn0002573,sens-PA-1558,5,7,46,54,3.7363198061043e-15,8.51967471462963e-13,-17.5439429072232,2.80668697972154
CG1582,FBgn0030246,CG1582-PA-3615,76,71,192,188,4.29790525636146e-15,9.76252648577674e-13,-14.7735669273397,1.11774482866653
CG7414,FBgn0037135,CG7414-PA-822,27,35,105,111,5.70890136672997e-15,1.28685609510053e-12,-15.8038470912882,1.54855317014108
Hsp26,FBgn0001225,Hsp26-PA-373,52,55,144,161,5.70418848119549e-15,1.28685609510053e-12,-15.1612003244586,1.25913378597226
CG16820,FBgn0032495,CG16820-PA-444,77,79,29,29,6.79841762731027e-15,1.52083692512761e-12,-16.0867015179951,-1.67979505355753
crol,FBgn0020309,crol-PA-2160,167,193,374,369,6.77750482523865e-15,1.52083692512761e-12,-13.6439363701676,0.793335562401012
klar,FBgn0001316,klar-PA-6177,104,94,235,233,7.7485243620253e-15,1.72683906329242e-12,-14.4084086235599,0.988534201401506
Chro,FBgn0044324,Chro-PA-1726,69,48,199,179,8.69822821495255e-15,1.93120286435589e-12,-14.9415842060174,1.43743640716957
TER94,FBgn0261014,TER94-PA-1638,1466,1576,2621,2290,8.84624691917587e-15,1.95671030169546e-12,-10.7427397464487,0.437915918780917
Aats-val,FBgn0027079,Aats-val-PA-2032,200,190,415,377,8.97894448091238e-15,1.97865113117061e-12,-13.5400696216842,0.769196939920107
CG7200,FBgn0032671,CG7200-PA-1150,97,87,37,41,9.14193192732572e-15,2.00707886901116e-12,-15.7537941632837,-1.4906421334173
MED28,FBgn0039337,MED28-PA-540,234,250,172,141,9.34967557861235e-15,2.04508570489514e-12,-14.0541622696752,-0.881460688008961
CG7587,FBgn0038523,CG7587-PA-311,25,20,0,0,9.3917492287309e-15,2.04670821383908e-12,-33.5281689335838,-32.9757706204601
Oscp,FBgn0016691,Oscp-PA-573,1608,1693,1443,1425,9.48840776530731e-15,2.05262412382241e-12,-11.0710756371235,-0.45488961720719
Ranbp16,FBgn0053180,Ranbp16-PB-2683,247,285,128,147,9.45532025360364e-15,2.05262412382241e-12,-14.0789899934737,-1.20223441553311
Xbp1,FBgn0021872,Xbp1-PC-710,201,193,382,414,9.8001476336219e-15,2.11232525162935e-12,-13.5287162291099,0.762509137594562
CG8336,FBgn0036020,CG8336-PA-351,422,431,777,754,1.00227626009839e-14,2.15245204977785e-12,-12.500000099013,0.59146298263349
RpS18,FBgn0010411,RpS18-PA-28,1467,1417,1223,1266,1.45241034062391e-14,3.10784238755677e-12,-11.2701643801464,-0.464926721930023
CG7044,FBgn0038854,CG7044-PA-2904,59,50,16,14,1.49366734870114e-14,3.1845850642452e-12,-16.8208033290741,-2.11384673701622
Tm1,FBgn0003721,Tm1-PE-1788,64,78,30,20,1.62643279205935e-14,3.44863173207041e-12,-16.2617500444181,-1.75824070815929
glo,FBgn0259139,glo-PA-1608,1254,1269,1138,1020,1.62919207092629e-14,3.44863173207041e-12,-11.4703489724557,-0.47858756285402
eIF5,FBgn0030719,eIF5-PA-1153,2054,2033,1841,1767,1.64155201970043e-14,3.46238497069529e-12,-10.7512481831952,-0.432731816348427
rab3-GAP,FBgn0027505,rab3-GAP-PA-57,348,345,254,241,1.69903399206277e-14,3.57087364780224e-12,-13.4643334142172,-0.738025826487828
GstD3,FBgn0010039,GstD3-PA-505,242,232,147,160,1.73691564995222e-14,3.63754483882546e-12,-14.0827484982999,-0.879013065182003
Mi-2,FBgn0262519,Mi-2-PA-4536,28,27,94,104,1.85027408164434e-14,3.85928552919929e-12,-15.9529418776376,1.5957809801271
CG4098,FBgn0036648,CG4098-PA-874,792,743,1305,1279,1.85586557332215e-14,3.85928552919929e-12,-11.6982772895502,0.498488238914969
CG8112,FBgn0037612,CG8112-PA-1414,27,19,0,0,1.86625551479768e-14,3.86727432255865e-12,-33.5120042773463,-33.0080999329352
CG2310,FBgn0039665,CG2310-PA-273,50,42,142,130,1.97457818785223e-14,4.07743491671947e-12,-15.3528691006415,1.31130229529117
CG9153,FBgn0035207,CG9153-PA-43,28,35,135,107,2.79071402698648e-14,5.74264770054939e-12,-15.7111485035432,1.68845060929523
Rm62,FBgn0003261,Rm62-PA-1389,649,679,1177,1080,2.97462275574821e-14,6.09983578850617e-12,-11.9009830834781,0.512448024769447
CG3817,FBgn0038275,CG3817-PA-729,168,130,59,53,3.02211697105123e-14,6.17578491613646e-12,-15.1439616438248,-1.66731294263878
Cand1,FBgn0027568,Cand1-PA-2188,0,0,29,26,3.18633637759018e-14,6.48891909612831e-12,-33.5096593004915,33.0127898866448
CG30122,FBgn0050122,CG30122-PB-2179,213,232,441,431,3.39325517563255e-14,6.88655890592807e-12,-13.3755064853322,0.718349183929034
sun,FBgn0014391,sun-PA-121,1236,1320,899,708,3.69774893627058e-14,7.47882385884478e-12,-11.6748646850215,-0.92398201483306
Nc73EF,FBgn0010352,Nc73EF-PA-2094,44,45,143,121,3.99172543456353e-14,8.01848029640997e-12,-15.3984486888904,1.31605794887276
SmD2,FBgn0261789,SmD2-PA-189,1062,1092,979,850,3.97989800458201e-14,8.01848029640997e-12,-11.7038910010338,-0.489147183868261
exba,FBgn0250753,exba-PA-1059,3400,3504,3328,2939,4.99357475315538e-14,9.99696738209662e-12,-9.97542421285867,-0.393091644845174
CG10249,FBgn0027596,CG10249-PA-3354,498,483,378,379,5.18531742671945e-14,1.03457593441621e-11,-12.9070163948228,-0.626508474563348
CG17493,FBgn0040010,CG17493-PA-162,105,138,343,306,5.79492573488304e-14,1.15231220219098e-11,-14.0260497618881,1.16562386807795
RpL23A,FBgn0026372,RpL23A-PA-621,6500,6577,6109,5950,5.95119902711396e-14,1.17547127807122e-11,-9.04184443893884,-0.369490243429054
CG13384,FBgn0032036,CG13384-PB-936,122,126,272,272,5.9406467970033e-14,1.17547127807122e-11,-14.1375083724172,0.881007186155614
dgo,FBgn0086898,dgo-PA-2671,543,533,457,387,6.28892421806643e-14,1.23803762156856e-11,-12.7622476816224,-0.603596538486975
CG12773,FBgn0024365,CG12773-PA-1323,84,93,206,216,7.60901384641729e-14,1.49293401907546e-11,-14.5639804489854,1.00142027742283
fax,FBgn0014163,fax-PA-597,276,274,509,525,7.79354636596877e-14,1.52407702411054e-11,-13.0994969622309,0.658565229944906
CG7712,FBgn0033570,CG7712-PA-300,1722,1695,1526,1486,8.16707617351213e-14,1.59185209457188e-11,-11.0105683493543,-0.434789655423775
Tsp,FBgn0031850,Tsp-PA-2433,72,62,176,170,8.32024983267228e-14,1.61637274545381e-11,-14.9079555116233,1.1160006265898
CG9769,FBgn0037270,CG9769-PA-213,38,30,140,109,8.51613591359323e-14,1.64900313044259e-11,-15.6349872044294,1.6181428226218
CG3198,FBgn0029887,CG3198-PA-808,68,80,183,187,9.42831655796434e-14,1.81966509568712e-11,-14.7879823970047,1.069822399639
Eip75B,FBgn0000568,Eip75B-PA-3384,84,91,229,189,9.92733558136703e-14,1.90973480379275e-11,-14.5793403621812,1.0034358657592
CG6610,FBgn0035675,CG6610-PA-90,506,539,408,410,9.97675010625164e-14,1.91300944082795e-11,-12.8057455521091,-0.605395538715503
CG10565,FBgn0037051,CG10565-PA-1077,1877,1993,2996,3102,1.0557228565598e-13,2.0177631217705e-11,-10.4119614385451,0.404654814106939
Fili,FBgn0085397,Fili-PC-2112,4,7,55,42,1.16274612620902e-13,2.21514389424686e-11,-17.6292390644854,2.88758741170132
Rev1,FBgn0035150,Rev1-PA-1869,72,82,202,177,1.19503130945558e-13,2.26932987375652e-11,-14.7421440363847,1.04677340759754
ry,FBgn0003308,ry-PA-3693,25,18,0,0,1.23118045347511e-13,2.33048253914529e-11,-33.5606923144808,-32.9107238586662
miple,FBgn0027111,miple-PA-314,1224,1331,2162,1943,1.42118953714303e-13,2.68155308896463e-11,-10.9977772079535,0.43138632471118
Sema-1b,FBgn0016059,Sema-1b-PA-1170,372,380,270,287,1.46703797556862e-13,2.75924613888953e-11,-13.3201440759611,-0.685181999913303
CG2807,FBgn0031266,CG2807-PA-3798,533,552,445,413,1.51159952235117e-13,2.83403316161953e-11,-12.7443119072059,-0.591201292061464
Rsf1,FBgn0011305,Rsf1-PA-279,198,220,409,409,1.56696898669818e-13,2.92854602583610e-11,-13.4667464383676,0.716564261127706
feo,FBgn0030241,feo-PA-733,57,43,10,13,1.74335033559353e-13,3.23941246532424e-11,-17.0740011887483,-2.37348768179621
Ufd1-like,FBgn0036136,Ufd1-like-PA-226,156,150,321,315,1.74427370377105e-13,3.23941246532424e-11,-13.8731558475415,0.80304097592016
RpL27,FBgn0039359,RpL27-PA-12,2662,2869,4501,4085,2.18050541530423e-13,4.03687425758737e-11,-9.90838159509631,0.381768416175719
alpha4GT1,FBgn0031491,alpha4GT1-PA-867,51,41,10,10,2.19753430979646e-13,4.05568691462372e-11,-17.2352291254462,-2.45481072728584
Sgt,FBgn0032640,Sgt-PA-906,813,909,704,739,2.22712715576918e-13,4.09749768116561e-11,-12.0360122270775,-0.50634994486355
OstStt3,FBgn0011336,OstStt3-PA-1420,115,144,323,347,2.3668791245618e-13,4.34109153224754e-11,-13.9560370038162,1.12114237198404
CG7840,FBgn0032014,CG7840-PA-820,85,80,41,29,2.53370133516927e-13,4.63267286230424e-11,-15.9106251693819,-1.48967973951078
IntS9,FBgn0036570,IntS9-PA-1941,108,104,54,50,2.59380829755388e-13,4.72793612459683e-11,-15.4441868069921,-1.27999373830839
CG9977,FBgn0035371,CG9977-PA-1161,88,104,238,204,2.64114202834543e-13,4.79940202800075e-11,-14.4722102955889,0.950427331303925
AP-47,FBgn0024833,AP-47-PA-885,145,132,75,80,2.81894465536451e-13,5.10678630234715e-11,-14.963298420133,-1.09012421862609
CG13865,FBgn0039965,CG13865-PA-568,3353,1056,140,148,2.90213223478158e-13,5.24141056641377e-11,-12.5116769359232,-4.20329635529095
CG9662,FBgn0031529,CG9662-PA-366,56,56,9,21,2.93708712463571e-13,5.28836864044925e-11,-16.8006926850815,-2.15195941930752
CG11882,FBgn0039642,CG11882-PA-681,377,385,269,301,3.20615472130357e-13,5.75529135351813e-11,-13.293884643156,-0.670783658604547
skap,FBgn0037643,skap-PA-1158,210,201,395,407,3.30467006529441e-13,5.91415771867144e-11,-13.4929257545627,0.712174052238615
CG11961,FBgn0034436,CG11961-PA-2355,247,271,167,188,3.44100335339922e-13,6.13954006178402e-11,-13.9140695232075,-0.79699474131757
Spn100A,FBgn0039795,Spn100A-PA-1284,21,15,81,69,3.61431539209804e-13,6.42934453091946e-11,-16.4590503229886,1.80629821516967
trh,FBgn0262139,trh-PA-2253,5,6,43,45,3.70764773418514e-13,6.5755633599251e-11,-17.6989572190508,2.74769116051427
ubl,FBgn0022224,ubl-PA-195,34,33,3,8,3.97343846127821e-13,7.02584816305893e-11,-17.8955940779391,-2.8589891355674
CG8258,FBgn0033342,CG8258-PA-660,507,576,916,930,4.18573838214487e-13,7.37914439918542e-11,-12.1929339980865,0.517843891022227
CG8408,FBgn0030850,CG8408-PA-405,25,38,6,2,4.83827691715892e-13,8.50413565992773e-11,-18.1703794444269,-3.22910488880876
Rpb7,FBgn0051155,Rpb7-PA-348,1168,1283,1116,1018,4.88348113627654e-13,8.55811955330029e-11,-11.4995701205167,-0.452141705135923
Ef2b,FBgn0000559,Ef2b-PA-63,21,31,99,84,5.07284537265908e-13,8.86367165735208e-11,-16.0504812122258,1.56286303883969
CG14257,FBgn0039479,CG14257-PB-295,56,59,160,189,5.10326111975082e-13,8.89051313304554e-11,-15.0113584703306,1.3508330308847
proPO-A1,FBgn0261362,proPO-A1-PA-1947,55,68,23,14,5.38133580745816e-13,9.34738029755482e-11,-16.5831003925207,-1.9854117281958
CG9170,FBgn0030716,CG9170-PA-3214,17,23,0,0,5.62840631154591e-13,9.7210780556118e-11,-33.613212310986,-32.8056838656558
CG8176,FBgn0037702,CG8176-PA-2982,221,281,616,563,5.62939600904066e-13,9.7210780556118e-11,-13.0721337211164,0.980639197399294
fab1,FBgn0028741,fab1-PA-5178,529,562,470,402,5.69466551251094e-13,9.80511824600208e-11,-12.728908906726,-0.576040149982704
Psc,FBgn0005624,Psc-PA-4578,138,148,311,284,5.8371887762206e-13,1.00212992658732e-10,-13.9702125766795,0.804385028808667
Eip75B,FBgn0000568,Eip75B-PA-3369,11,10,60,53,6.18767891813492e-13,1.05922301897743e-10,-17.0521840902072,2.17540072949324
Atg18,FBgn0035850,Atg18-PA-375,119,140,283,266,6.41257945414309e-13,1.09454947226238e-10,-14.0998112761423,0.831619437739805
Aats-ala-m,FBgn0028962,Aats-ala-m-PA-3013,26,27,4,1,6.82528395144258e-13,1.16163579136685e-10,-18.6335064673128,-3.65841056624752
CG1965,FBgn0037466,CG1965-PA-2598,475,492,393,367,7.06597699315132e-13,1.19914502661359e-10,-12.9148374276915,-0.600031758887413
Trxr-1,FBgn0020653,Trxr-1-PA-1264,309,321,580,562,7.65064751412779e-13,1.29464739509845e-10,-12.9301016670398,0.605804356285618
gbb,FBgn0024234,gbb-PA-1338,308,354,253,233,8.16345616306834e-13,1.37747826879569e-10,-13.5109006715373,-0.69800688250965
CG12018,FBgn0027903,CG12018-PA-1266,312,344,243,237,8.55578343161872e-13,1.43556419637054e-10,-13.5262694318155,-0.702782838935993
cact,FBgn0000250,cact-PA-1488,154,174,112,87,8.55631069664448e-13,1.43556419637054e-10,-14.6615470323878,-0.973413647971637
Uch-L3,FBgn0011327,Uch-L3-PA-254,263,279,498,505,8.63408328507168e-13,1.44450903866789e-10,-13.132175269993,0.6359104285102
Moe,FBgn0011661,Moe-PA-1278,169,158,339,320,9.55377078573277e-13,1.59386043803335e-10,-13.7996864890169,0.75832564114686
nmdyn-D7,FBgn0028997,nmdyn-D7-PA-945,228,257,161,170,1.03638564573452e-12,1.72413699903631e-10,-14.0121595659555,-0.803099928639212
CG30122,FBgn0050122,CG30122-PB-2343,79,92,191,208,1.0755472936356e-12,1.78426045133514e-10,-14.6292711176927,0.970458451345593
Best2,FBgn0035696,Best2-PA-1149,18,21,0,0,1.11436372141789e-12,1.84347598485989e-10,-33.6314535268425,-32.7692014339428
